event_id,ticker,company_name,created_at,author_handle,text_raw,query_used,post_uri,has_cashtag,has_plain_ticker,has_company,has_earnings_term,match_score,relevance_label
AMZN_Q4_2022_2023-02-03,AMZN,AMAZON COM,2026-04-12T04:16:41.766Z,insiderdashboard.bsky.social,"$AMZN reported earnings today, this is their revenue breakdown compared to competitors.

See more at https://www.insiderdashboard.com/search?query=AAPL",AMZN earnings,at://did:plc:ap56m7pvnz4lnrtaguxiuawm/app.bsky.feed.post/3mjbil3yni22e,True,True,False,True,3,high
AMZN_Q4_2022_2023-02-03,AMZN,AMAZON COM,2026-04-11T13:05:20Z,fazencapital.bsky.social,"Dow Jones Futures Rise on Iran Talks, Big-Tech Earnings: Dow futures rose ~0.3% on Apr 11, 2026 as Iran talks and Q1 earnings for GOOGL, AMZN and NVDA influenced flows; IBD flagged those names as buy areas. 👈 Read full analysis #DowJones #FuturesTrading #BigTechEarnings #FinanceNews #Investing",AMZN earnings,at://did:plc:xka4juannwsptr5z3eekxidr/app.bsky.feed.post/3mj7vnhz7cm2f,False,True,False,True,2,high
AMZN_Q4_2022_2023-02-03,AMZN,AMAZON COM,2026-04-11T03:44:00.543Z,insiderdashboard.bsky.social,"$AMZN reported earnings today, this is their revenue breakdown compared to competitors.

See more at https://www.insiderdashboard.com/search?query=AAPL",AMZN earnings,at://did:plc:ap56m7pvnz4lnrtaguxiuawm/app.bsky.feed.post/3mj6wbq3iia2a,True,True,False,True,3,high
AMZN_Q4_2022_2023-02-03,AMZN,AMAZON COM,2026-04-10T15:40:20.307Z,insiderdashboard.bsky.social,"$AMZN reported earnings today, this is their revenue breakdown compared to competitors.

See more at https://www.insiderdashboard.com/search?query=AAPL",AMZN earnings,at://did:plc:ap56m7pvnz4lnrtaguxiuawm/app.bsky.feed.post/3mj5ntpdaac2r,True,True,False,True,3,high
AMZN_Q4_2022_2023-02-03,AMZN,AMAZON COM,2026-04-10T04:13:57.430Z,insiderdashboard.bsky.social,"$AMZN reported earnings today, this is their revenue breakdown compared to competitors.

See more at https://www.insiderdashboard.com/search?query=AAPL",AMZN earnings,at://did:plc:ap56m7pvnz4lnrtaguxiuawm/app.bsky.feed.post/3mj4hieezlr2x,True,True,False,True,3,high
AMZN_Q4_2022_2023-02-03,AMZN,AMAZON COM,2026-04-09T19:00:03.027846Z,fundspec.bsky.social,"BEARISH $AMZN
Amazon.com Option Alert: Jan 15 $210 Puts Sweep (17) near the Ask: 503 vs 14240 OI; Earnings 4/30 After Close [est] 
https://optionssentimentscreener.com/AMZN
Monitor Unusual Options Activity for free on the Options Sentiment Screener App on the AppStore or PlayStore
",AMZN earnings,at://did:plc:5i7m7wpf7lstzfau43thfeff/app.bsky.feed.post/3mj3ijvmuaf2q,True,True,False,True,3,high
AMZN_Q4_2022_2023-02-03,AMZN,AMAZON COM,2026-04-06T15:37:21.361Z,insiderdashboard.bsky.social,"$AMZN reported earnings today, this is their revenue breakdown compared to competitors.

See more at https://www.insiderdashboard.com/search?query=AAPL",AMZN earnings,at://did:plc:ap56m7pvnz4lnrtaguxiuawm/app.bsky.feed.post/3mitlsoxej22p,True,True,False,True,3,high
AMZN_Q4_2022_2023-02-03,AMZN,AMAZON COM,2026-04-06T04:13:13.802Z,insiderdashboard.bsky.social,"$AMZN reported earnings today, this is their revenue breakdown compared to competitors.

See more at https://www.insiderdashboard.com/search?query=AAPL",AMZN earnings,at://did:plc:ap56m7pvnz4lnrtaguxiuawm/app.bsky.feed.post/3misflfim3p25,True,True,False,True,3,high
AMZN_Q4_2022_2023-02-03,AMZN,AMAZON COM,2026-04-05T04:08:22.866Z,insiderdashboard.bsky.social,"$AMZN reported earnings today, this is their revenue breakdown compared to competitors.

See more at https://www.insiderdashboard.com/search?query=AAPL",AMZN earnings,at://did:plc:ap56m7pvnz4lnrtaguxiuawm/app.bsky.feed.post/3miputrver62x,True,True,False,True,3,high
AMZN_Q4_2022_2023-02-03,AMZN,AMAZON COM,2026-04-04T03:41:17.800Z,insiderdashboard.bsky.social,"$AMZN reported earnings today, this is their revenue breakdown compared to competitors.

See more at https://www.insiderdashboard.com/search?query=AAPL",AMZN earnings,at://did:plc:ap56m7pvnz4lnrtaguxiuawm/app.bsky.feed.post/3mincugrv7j2s,True,True,False,True,3,high
